signature_name,type,confidence level,comment
APM_Thompson,pan,3B,pan-cancer and pan-treatment IO biomarkers
TIS_Damotte,pan,3B,pan-cancer and pan-treatment IO biomarkers
Inflammatory_Thompson,pan,3B,pan-cancer and pan-treatment IO biomarkers
M1_Hwang,pan,3B,pan-cancer and pan-treatment IO biomarkers
STAT1_Care,pan,3B,pan-cancer and pan-treatment IO biomarkers
IFN_Ayers,pan,3B,pan-cancer and pan-treatment IO biomarkers
TLS_Cabrita,pan,3B,pan-cancer and pan-treatment IO biomarkers
IRG_Ayers,pan,3B,pan-cancer and pan-treatment IO biomarkers
peri-Tcell_Hwang,pan,3B,pan-cancer and pan-treatment IO biomarkers
PDL1_Nishino,pan,3B,pan-cancer and pan-treatment IO biomarkers
APM_Wang,pan,3B,pan-cancer and pan-treatment IO biomarkers
CYT_Rooney,pan,3B,pan-cancer and pan-treatment IO biomarkers
PTEN-MITF_Cabrita,pan,3B,pan-cancer and pan-treatment IO biomarkers
Bcell_Helmink,pan,3B,pan-cancer and pan-treatment IO biomarkers
PredictIO_Bareche,pan,3B,pan-cancer and pan-treatment IO biomarkers
TIS_Damotte,Melanoma,3A,cancer-specific and pan-treatment IO biomarkers
APM_Thompson,Melanoma,3A,cancer-specific and pan-treatment IO biomarkers
Inflammatory_Thompson,Melanoma,3A,cancer-specific and pan-treatment IO biomarkers
IRG_Ayers,Melanoma,3A,cancer-specific and pan-treatment IO biomarkers
TLS_Cabrita,Melanoma,3A,cancer-specific and pan-treatment IO biomarkers
M1_Hwang,Melanoma,3A,cancer-specific and pan-treatment IO biomarkers
PTEN-MITF_Cabrita,Melanoma,3A,cancer-specific and pan-treatment IO biomarkers
APM_Wang,Melanoma,3A,cancer-specific and pan-treatment IO biomarkers
Bcell_Helmink,Melanoma,3A,cancer-specific and pan-treatment IO biomarkers
APM_Thompson,Lung,3A,cancer-specific and pan-treatment IO biomarkers
M1_Hwang,Lung,3A,cancer-specific and pan-treatment IO biomarkers
IFN_Ayers,Lung,3A,cancer-specific and pan-treatment IO biomarkers
STAT1_Care,Lung,3A,cancer-specific and pan-treatment IO biomarkers
Inflammatory_Thompson,Lung,3A,cancer-specific and pan-treatment IO biomarkers
TIS_Damotte,Lung,3A,cancer-specific and pan-treatment IO biomarkers
APM_Thompson,PD-(L)1,3B,pan-cancer and treatment-specific IO biomarkers
CYT_Rooney,PD-(L)1,3B,pan-cancer and treatment-specific IO biomarkers
PDL1_Nishino,PD-(L)1,3B,pan-cancer and treatment-specific IO biomarkers
Inflammatory_Thompson,PD-(L)1,3B,pan-cancer and treatment-specific IO biomarkers
M1_Hwang,PD-(L)1,3B,pan-cancer and treatment-specific IO biomarkers
STAT1_Care,PD-(L)1,3B,pan-cancer and treatment-specific IO biomarkers
TIS_Damotte,PD-(L)1,3B,pan-cancer and treatment-specific IO biomarkers
APM_Wang,PD-(L)1,3B,pan-cancer and treatment-specific IO biomarkers
IFN_Ayers,PD-(L)1,3B,pan-cancer and treatment-specific IO biomarkers
IRG_Ayers,PD-(L)1,3B,pan-cancer and treatment-specific IO biomarkers
